price,direction,strong,extras,link,scrapping_date,scrapping_page,description,time_ago,price_reduction,inmobiliario
1.500 € /mes,"Piso en Calle Salinas, 3, Centro",Piso,"['1 hab.', '1 baño', '80 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-ascensor-amueblado-television-internet/181301818/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"BONITO APARTAMENTO EN PLENO CENTRO HISTÓRICO DE MÁLAGA, SE ALQUILA TOTALMENTE AMUEBLADO Y EQUIPADO, EL PRECIO INCLUYE IBI, COMUNIDAD E INTERNET, NO SE ACEPTAN MASCOTAS, ABSTENERSE FINES TURÍSTICOS, TRES BALCONES A LA CALLE, EDIFICIO REHABILITADO SINGULAR, A ESCASOS 30 METROS DE CALLE LARIOS, CALLE MUY TRANQUILA, AIRE ACONDICIONADO, SOLVENCIA ECONÓMICA Y LABORAL. EN PLENO CENTRO HISTÓRICO DE LA CIUDAD, AMPLIO SOFÁ-CAMA EN EL SALÓN, LUZ Y AGUA POR CUENTA DEL INQUILINO, TECHOS ALTOS",Novedad,Ha bajado 100 €,Inmuebles INFEMAR CONSULTING
1.500 € /mes,"Piso con piscina en Calle Centauro, Puerto de la Torre - Atabal",Piso,"['2 habs.', '2 baños', '150 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-terraza-zona-comunitaria-ascensor-piscina-amueblado-television/182459928/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Ático en alquiler en la zona de Los Almendros, junto al Cónsul. Este inmueble se encuentra en perfecto estado, prácticamente a estrenar. Cuenta con 2 dormitorios, uno de matrimonio con doble armario empotrado y baño en suite con ducha y columna de hidromasaje, y otro dormitorio simple amueblado actualmente con cama nido. El salón es muy amplio y totalmente independiente. Además, dispone de un segundo baño completo con ducha. La cocina está completamente amueblada y equipada.

El ático es todo exterior y muy luminoso, con acceso a una gran terraza desde todas las dependencias del inmueble, excepto del dormitorio individual. También cuenta con un solarium de más de 50m2 y un trastero en la terraza. Incluye plaza de garaje en el sótano. Desde el ático se pueden disfrutar de vistas despejadas a la montaña.

El edificio forma parte de una urbanización con piscina y zonas verdes. Se requiere solvencia demostrable y se solicitan 3 meses de entrada (fianza, mes corriente y gestión de agencia).

La vivienda tiene una superficie construida de 150m² y útil de 70m². Cuenta con 2 dormitorios y 2 baños. Dispone de armarios empotrados, calefacción bomba de frío/calor eléctrica, y es apta para su uso por personas con movilidad reducida. Se encuentra en la tercera planta del edificio, es exterior y cuenta con ascensor. El precio incluye una plaza de garaje. Además, cuenta con aire acondicionado. La vivienda tiene una piscina comunitaria.",Novedad,,Inmuebles INMOBILIARIAS MEDITERRANEO
1.195 € /mes,"Apartamento con ascensor en Paseo Martiricos, Martiricos - La Roca",Apartamento,"['1 hab.', '1 baño', '45 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-trastero-zona-comunitaria-ascensor-amueblado-piscina/182029426/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Exclusivo apartamento amueblado, en las modernas y nuevas Torres de Paseo de Martiricos, apartamento con las ultimas calidades y tecnología, 45 m², 1 dormitorio con vestidor, bonito baño y precioso salón muy luminoso con gran ventanal con cocina integrada equipada con todo tipo de electrodomésticos, sistema de aerotermia, el resto del apartamento se entregara amueblado, las fotos actuales se presentan aun sin amueblar, dispone de garaje y trastero y un majestuoso recinto comunitario con todo tipo de lujos en cuanto a servicios a su disposición, sala de cine, sala de coworking, piscina, gimnasio, guarderia….todo un lujo a su alcance! Vívalo! Tlf SEIS CINCO UNO CUATRO OCHO CINCO NUEVE CERO OCHO.",Novedad,,Inmuebles MALAGA GESTION INMOBILIARIA
2.950 € /mes,Piso con terraza en Centro,Piso,"['5 habs.', '3 baños', '193 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-terraza-ascensor-amueblado-television-internet/181682249/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Vivienda rehabilitada recientemente con vistas al puerto de Málaga, la Alcazaba y la Malagueta junto al centro de la ciudad y frente a muelle 1. Distribuida en vestíbulo, amplio salón comedor, cinco dormitorios, dos de los cuales tienen baño en suite, cocina, despensa, lavadero y terraza. Todo exterior. Aire acondicionado en todas las habitaciones. Armarios empotrados. Se alquila amueblada, por temporada, para familias o directivos desplazados. Plazo mínimo de 2 y máximo de 10 meses. Julio y agosto, con incremento. Consultar precio.",Novedad,Ha bajado 550 €,Inmuebles MALHER CONSULTORES INMOBILIARIOS
1.300 € /mes,"Piso con terraza en Calle Gustavo Pittaluga, Teatinos - Universidad",Piso,"['3 habs.', '2 baños', '95 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-terraza-ascensor-amueblado/181997598/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Vivienda con muy buena ubicación, consta de 3 dormitorios con armarios empotrados, 2 baños, cocina amueblada y equipada con lavadero, salón amplio con salida a una terraza con buenas vistas.
Incluye plaza de garaje.
Los dormitorios se pueden amueblar si le interesa o se pueden quedar sin muebles.
Rodeado de todo tipo de servicios, comercios, supermercados, al lado de la Ciudad de la Justicia, restaurantes, farmacias, .
Muy buen acceso a la autovía.",Novedad,,
1.050 € /mes,Apartamento con aire acondicionado en Churriana,Apartamento,"['1 hab.', '1 baño', '85 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-amueblado/182277553/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"¡Bienvenidos a vuestro nuevo hogar! Este precioso dúplex de un dormitorio es la opción perfecta para una pareja que busca un lugar acogedor y tranquilo para vivir. Situado en una zona de polígonos cerca del autocine de Málaga, este apartamento cuenta con una ubicación ideal para aquellos que buscan un lugar tranquilo para vivir.

El apartamento se alquila amueblado, tal cual se ve en las fotos, y cuenta con una cocina totalmente equipada, lista para que puedas cocinar tus platos favoritos. Además, el apartamento dispone de 85m² construidos, 80m² útiles, y un baño completo.

El apartamento se encuentra en perfecto estado y listo para ser habitado. Además, se pide un mes de fianza y se requieren ingresos demostrables para alquilar. Si estás interesado en visitar el apartamento, no dudes en ponerte en contacto con nosotros y organizaremos una visita previa cita.

¡No pierdas la oportunidad de vivir en este hermoso dúplex! Contacta con la agencia inmobiliaria ZAFIRHOGAR y haz realidad tu sueño de vivir en un lugar tranquilo y acogedor. Recuerda, nuestro lema es SUEÑA, CREA Y DISFRUTA.",Novedad,,Inmuebles Zafirhogar
1.100 € /mes,"Piso con ascensor en Calle Obispo Fernández de Córdova, Centro",Piso,"['3 habs.', '1 baño', '88 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-ascensor-amueblado/182016995/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Vivienda con muy buena ubicación, consta de 3 dormitorios, 1 baño, cocina amplia y salón.
Recien reformado.
Consta de aire acondicionado en el salón y en el dormitorio principal.
Rodeado de todo tipo de servicios, comercios, centros deportivos, centros sanitarios,.",Hace 25 días,,
800 € /mes,"Apartamento con terraza en Calle Lope de Rueda, Puerto de la Torre - Atabal",Apartamento,"['2 habs.', '1 baño', '50 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-terraza-amueblado/182304119/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"¡Oportunidad única! Acogedor apartamento en alquiler con agua y luz incluidos en el precio. Este luminoso piso de dos dormitorios se encuentra en la carretera La Fresneda, ofreciendo un ambiente tranquilo y apacible para vivir. El salón-comedor amueblado brinda un espacio acogedor para disfrutar en compañía, mientras que la cocina pequeña equipada con todos los electrodomésticos facilita la preparación de deliciosas comidas. El baño con plato de ducha y el amplio patio son detalles que hacen de este lugar el hogar perfecto para máximo dos personas con ingresos demostrables. Además, cuenta con aparcamiento en la puerta para mayor comodidad. ¡No te pierdas la oportunidad de visitarlo!

ZAFIRHOHAR
SUEÑA, CREA Y DISFRUTA.",Hace 4 días,,Inmuebles Zafirhogar
2.500 € /mes,"Piso en Calle Pacífico, 18, Carretera de Cádiz",Piso,"['4 habs.', '2 baños', '160 m²', 'Ascensor', 'Terraza']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-terraza-ascensor-amueblado/181932351/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"¡¡¡Alquiler verano 2024!!! Se Alquila Magnífico Piso con amplia Plaza de aparcamiento en la zona de Huelin, Málaga, cerca de tabacalera. Piso orientado al sur, en 1ª línea de Playa, con unas magníficas vistas al mar. Vivienda de 160m2 ubicada en la 4º planta del edificio, que consta de: Recibidor, cocina office, lavadero, espacioso salón-comedor, 4 dormitorios, 2 terrazas con toldos y 2 baños con bañera, uno de ellos en suite en el dormitorio principal.

Agua caliente sanitaria con gas natural. Aire acondicionado frio/calor en todos los dormitorios y en el salón. Puerta exterior blindada. Armarios empotrados en todos los dormitorios y en el pasillo. Video portero.
La cocina está provista del menaje necesario para disfrutar de la estancia, equipada con lavadora, nevera, congelador, horno, microondas, vitrocerámica, campana, hervidor de agua y cafetera.
Toallas y sábanas en todas las habitaciones.

La finca dispone de 2 ascensores.
Posibilidad de alquilar otras dos plazas de aparcamiento en el edificio de forma independiente.
Extraordinaria zona en el Paseo Marítimo de Antonio Banderas, accesible a todo tipo de comercios, paradas de bus, supermercados, restaurantes, farmacias, colegios, parques infantiles, etc.
 
Si se alquila mensualmente: Junio: 2.500€, julio: 4.000€ y agosto: 5.000€.
Si se alquila trimestralmente, conlleva un descuento de 1.500€: Total para junio, julio y agosto por 10.000€",Hace 33 días,,
1.600 € /mes,"Piso con terraza en Bulevar Louis Pasteur, Teatinos - Universidad",Piso,"['4 habs.', '2 baños', '120 m²', '6ª Planta', 'Ascensor']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-terraza-ascensor-piscina/181510092/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Fabuloso un piso en la mejor zona  de Teatinos, al lado de la parada del metro, con la mejor orientación y en uno de los edificios más exclusivos de Teatinos, es todo un lujo.
 Esta vivienda cuenta con 4 dormitorios, todos ellos exteriores y  con armarios empotrados, salón con terraza orientada al sur y con unas estupendas vistas.
 Lo cocina es americana, dispone de horno, campana y vitro, lavavajillas, lavadora. 
 Toda la vivienda es exterior, y dispone de aerotermia para el aire acondicionado y el agua caliente, lo que supone una ahorro energético bastante considerable.
 La vivienda se completa con una plaza de aparcamiento.
 El edificio dispone de piscina en azotea y una gastroteca en la planta primera.
 La zona dispone de todos los servicios al lado: para de metro, bus, colegios, supermercados, farmacias,hospital, universidad, zonas de paseo, etc
CONDICIONES ALQUILER:
1 MES DE FIANZA
Honorarios de agencia a cargo del propietario.
El propietario contrata seguro de impago.",Hace 5 días,Ha bajado 100 €,
1.150 € /mes,"Dúplex con aire acondicionado en Avenida Andersen, Puerto de la Torre - Atabal",Dúplex,"['3 habs.', '2 baños', '120 m²', '1ª Planta', 'Aire acondicionado']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-amueblado-television/182134655/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"SE ALQUILA MAGNÍFICO DUPLEX EN PLENO CENTRO DEL PUERTO DE LA TORRE. LA VIVIENDA SE ALQUILA COMPLETAMENTE AMUEBLADA. EN PLANTA BAJA CONSTA DE UN AMPLIO SALÓN DIVIDO EN DOS AMBIENTES, CON TV Y CHIMENEA, ASEO, COCINA EQUIPADA CON FRIGORÍFICO, HORNO, MICROONDAS, LAVAVAJILLAS Y MENAJE, LAVADERO CON LAVADORA Y SECADORA. EN PLANTA ALTA TIENE UN BAÑO COMPLETO, TRES AMPLIOS DORMITORIOS CON ARMARIOS EMPOTRADOS, EL DORMITORIOS PRINCIPAL TIENE UNA ZONA DE VESTIDOR, EL SEGUNDO DORMITORIO LLEVA CAMA DE MATRIMONIO CON CANAPÉ, EL TERCER DORMITORIO LLEVA UNA CAMA INDIVIDUAL. LA VIVIENDA TIENE AIRE CLIMATIZADO POR SPLIT EN TODOS LOS DORMITORIOS Y EN EL SALÓN, TIENE PLAZA DE GARAJE OPCIONAL (50 €) Y LOS GASTOS DE COMUNIDAD Y AGUA ESTÁN INCLUIDOS EN EL PRECIO. NO SE PERMITEN ANIMALES.",Hace 16 días,,
850 € /mes,"Apartamento en Calle Pedro de Quejana, 8, Centro",Apartamento,"['1 hab.', '1 baño', '50 m²', '1ª Planta', 'Ascensor']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-ascensor-amueblado/181905006/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Altura piso 1º, apartamento superficie total 50 m², superficie útil 45 m², habitaciones dobles: 1, 1 baño, aire acondicionado (frío y calor), antigüedad entre 5 y 10 años, armarios empotrados, calefacción (central), carpintería exterior (aluminio), estado conservación: buen estado, parking, amueblado, orientación noreste, no se aceptan mascotas. Conexión a internet incluida en el precio.",Hace 37 días,Ha bajado 50 €,
1.200 € /mes,"Dúplex con terraza en Calle Compañía, Centro",Dúplex,"['1 hab.', '1 baño', '80 m²', '3ª Planta', 'Ascensor']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/terraza-ascensor/182080728/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"¡LARGA TEMPORADA!

DISPONIBLE A PARTIR DEL 15 DE MARZO 

¿Te imaginas viviendo en pleno centro de Málaga? Se alquila magnifico dúplex ubicado en calle Compañía, situado en una de las mejores zonas de la ciudad junto al Museo Thyssen y a un paso de la Plaza de la Merced, Plaza de la Constitución, calle Larios, Catedral, Alcazaba, rodeado de una gran oferta en ocio y hostelería.

Este precioso dúplex consta de 80m2 con un dormitorio, un baño, salón acogedor, cocina americana y una una fantástica terraza-solarium de 55m² con vistas exclusivas. Es una verdadera joya. 

Se alquila completamente amueblado. 

Luz y agua e internet no incluido en el precio 

¡Siéntete privilegiado de vivir en pleno corazón de la ciudad!",Hace 20 días,,
680 € /mes,"Estudio con balcón en Calle Blas de Lezo, Bailén - Miraflores",Estudio,"['1 baño', '50 m²', '4ª Planta', 'Ascensor', 'Balcón']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-trastero-ascensor-amueblado/179546975/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Estudio ático de reciente construcción listo para habitar completamente equipado, buena orientación luminoso aire acondicionado, salón comedor con cocina integrada con electrodomésticos, amplia cama abatible y baño exterior completo con bañera. La vivienda incluye garaje y trastero con acceso directo. Zona con muchos servicios y muy bien comunicada.",Hace 37 días,,
1.000 € /mes,Casa o chalet con terraza en Campanillas,Casa o chalet,"['3 habs.', '1 baño', '130 m²', 'Terraza', 'Balcón']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-terraza-zona-comunitaria-amueblado-television/182277448/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"telf 687*76*10*66, casa 3 dormitorios en zona campanillas en los nuñez. ideal trabajadores",Hace 5 días,,
680 € /mes,Piso con aire acondicionado en Campanillas,Piso,"['1 hab.', '1 baño', '48 m²', '1ª Planta', 'Aire acondicionado']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-amueblado-television/182467084/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Todo incluido en precio! incluitelf 687*76*10*66 687*46*42*90, piso 1 dormitorio en campanillas muy buena ubicacion junto al parque tecnologico y solo 7 km de malaga, poligonos industriales, plaza mayor, aeropuerto, universidad teatinos etc.. . Precio incluye luz agua y comunidad. Max 2 personas, no mascotas.",Novedad,,
1.100 € /mes,"Ático con terraza en Calle Lope de Rueda, Puerto de la Torre - Atabal",Ático,"['3 habs.', '110 m²', '1ª Planta', 'Ascensor', 'Terraza']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-terraza-ascensor-patio-amueblado-television/181409210/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Por orden expresa de la propiedad, solo se alquila a funcionarios, personas del parque tecnológico con altos salarios, perfil ingenieros, informáticos, directivos, o similar. 

Alquiler en Málaga, en la zona centro del distrito ""Puerto de la Torre"". 
Estupendo piso ático junto a la zona centro y comercial del barrio, junto a comercios, supermercados, paradas de bus 21 Alameda principal, C5 Universidad Hospital clínico.

A solo unos minutos de la universidad, hospitales, parque tecnológico de Andalucia, ciudad de la justicia, etc. -

Se distribuye en: 3 habitaciones, gran salón con terraza, amplia cocina con lavadero, 2 baños, terraza + azotea de 100 m2 con vistas a todo el barrio y montañas. 

Se alquila amueblado, con los muebles existentes.

No se admiten mascotas. 

Por orden expresa de la propiedad, solo se alquila a funcionarios, personas del parque tecnológico con altos salarios, perfil ingenieros, informáticos, directivos, o similar. 

Opción para alquiler otra plaza de aparcamiento adicional.",Novedad,,Inmuebles INGEMALAGA INMOBILIARIA
1.600 € /mes,"Piso con terraza en Plaza del Teatro, Centro",Piso,"['2 habs.', '1 baño', '80 m²', '2ª Planta', 'Ascensor']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-terraza-ascensor-amueblado-television/182218506/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"""SENSACIONAL PISO EN EL CENTRO HISTÓRICO 
Consta de 80 m2.

Luminoso y amplio salón-comedor con televisión. Cocina completamente equipada con electrodomésticos (microondas, vitrocerámica, nevera, lavadora, lavavajillas). Termo eléctrico. Dos dormitorios con camas de matrimonio y armario empotrado. Un baño íntegro con ducha.

La vivienda cuenta con TERRAZA COMUNITARIA, AIRE ACONDICIONADO y PLAZA DE GARAJE.

No se admiten mascotas!

Inmejorable localización rodeado de todo tipo de comercios.
Buena conexión con el transporte público.

Cuota comunidad de propietarios incluida en el precio.
Se requiere un mes de fianza.

Y sin moverte de casa! Aprovecha nuestras visitas virtuales y podrás ver la vivienda en directo.
No te lo pienses mas y llámanos! 
No te quedes sin él! Te gustará!

Nuestras oficinas se encuentran en: 
Calle Haydn, 3-5 (Ofic. Bda de La Paz) // 

Más inmuebles en rentacasa. es

En cumplimiento del decreto de la junta de Andalucía 218/2005 del 11 de octubre se informa al cliente que los gastos notariales, registrales, Impuestos y otros gastos de compraventa no están incluidos en el precio. Como consumidor tiene derecho a que se le informe y entregue la documentación informativa que corresponda, según el caso, en base a lo dispuesto en el Decreto 218/05 de 11 de Octubre que regula el Reglamento de Información al Consumidor en la compra-venta y arrendamiento de vivienda en Andalucía. ”.",Novedad,,Inmuebles Rentacasa Alquileres
